| aliyun      | i-bp1dai2pevz6yisgda3a | DBA-Inception-1                          | 114.215.169.249        | 10.162.87.166  |
| aliyun      | i-bp18pq0yin3ot42pwnpv | ElkStack_Game_Node_2                     | 118.31.37.201          | 10.112.61.124  |
| qcloud      | ins-8ln6gts3           | XIZANGMJ_Team_1                          | 123.206.199.109        | 10.10.127.2    |
| aliyun      | i-bp17jff18arib4hji9ce | Devops_Logstash_Secureapi_1              | 118.31.43.182          | 10.111.64.219  |
| aliyun      | i-bp172drahx9ndqdr6q6i | DBA-DTS-1                                | 114.215.180.81         | 10.162.90.124  |
| aliyun      | i-bp1261oqtjmw2coqngzz | DBA-GameSelect-1                         | 112.124.124.115        | 10.162.56.86   |
| aliyun      | i-bp1hl3auw6fhxzy9vqrr | DBA-Mycat-2                              | 112.124.107.47         | 10.161.171.95  |
| aliyun      | i-bp1hl3auw6fhxzy9vqrs | DBA-Mycat-1                              | 112.124.114.42         | 10.162.54.238  |
| aliyun      | i-bp1h2w4d6eaj2vq7mfhm | Salt_Game_Mysql_1                        | 118.178.253.146        | 10.28.15.206   |
| aliyun      | i-bp1cvkjh1vlb7lc95yoi | DBA-Database_center_01                   | 116.62.9.33            | 10.26.252.214  |
| aliyun      | i-bp1cehc0owd1jpojh4gl | Devops_Game_Auto_Update_1                | 116.62.30.153          | 10.27.232.87   |
| aliyun      | i-bp13agy1viktw6rl9kdc | Devops_LDAP_YYHY                         | 47.96.174.29           | 10.114.0.55    |
| aliyun      | i-bp1b47p8bpds7ogyzj4w | VHEILONGJIANGMJ                          | 47.97.190.69           | 10.111.65.15   |
| aliyun      | i-bp1jbiaustohp5ib61fi | MJHUNANMJ                                | 47.96.22.198           | 10.111.64.252  |
| aliyun      | i-bp16o0ziwb6zfkb6wqi5 | Devops_Gogs_1                            | 118.31.78.143          | 10.114.0.34    |
| aliyun      | i-bp12w33elhyiwkxjnawi | FUJIANMJ_Server_H5                       | 47.96.42.191           | 10.80.152.127  |
| qcloud      | ins-ealomrhp           | Client_Report_DB                         | 115.159.64.157         | 10.105.227.121 |
